date,open,high,low,close,volume
2017-09-26,3885.09,3946.0,3880.36,3938.55,1547.77383922
2017-09-27,3938.56,4228.39,3925.0,4200.0,10407.49422583
2017-09-28,4189.42,4196.92,4017.72,4073.2,3585.8996253
2017-09-29,4073.01,4212.99,4015.17,4156.99,6734.68258418
2017-09-30,4339.01,4357.85,4256.92,4300.97,1719.96203199
2017-10-01,4394.81,4437.51,4384.32,4419.99,1915.75246321
2017-10-02,4392.71,4419.95,4375.33,4412.43,1022.16500449
2017-10-03,4307.99,4312.78,4276.0,4308.33,1050.99566481
2017-10-04,4214.84,4241.15,4151.0,4165.0,1295.29733578
2017-10-05,4165.0,4365.21,4150.01,4320.04,5161.64048279
2017-10-06,4363.0,4387.15,4350.03,4368.3,865.12622448
2017-10-07,4368.3,4449.42,4320.0,4425.0,3256.92441761
2017-10-08,4603.5,4633.7,4572.03,4580.2,1914.84915017
2017-10-09,4769.55,4857.12,4769.55,4798.48,2836.5752493
2017-10-10,4798.48,4925.65,4701.53,4750.0,10764.38717137
2017-10-11,4814.99,4849.99,4809.59,4838.01,1899.02967491
2017-10-12,5440.0,5867.0,5390.0,5731.5,10743.21383217
2017-10-13,5731.5,5780.0,5420.0,5624.8,14804.40354332
2017-10-14,5639.52,5839.8,5567.86,5819.13,7319.93675033
2017-10-15,5693.7,5723.02,5607.27,5608.01,1645.98527476
2017-10-16,5754.9,5769.99,5610.0,5671.01,2269.71158898
2017-10-17,5593.97,5596.76,5460.14,5530.01,2752.16918274
2017-10-18,5530.01,5600.0,5103.59,5574.44,13759.64622585
2017-10-19,5704.0,5714.99,5655.9,5694.2,1310.77017945
2017-10-20,5694.2,6063.99,5630.0,5989.1,15080.04830444
2017-10-21,6024.85,6082.3,5801.49,5805.01,2867.86143614
2017-10-22,6005.05,6050.0,5949.99,6010.0,1744.80306255
2017-10-23,5906.0,5906.0,5560.0,5632.83,6593.30855921
2017-10-24,5634.78,5775.0,5462.19,5525.43,10871.87233655
2017-10-25,5739.97,5795.0,5701.0,5759.99,2266.92296871
2017-10-26,5759.99,6000.0,5701.08,5891.61,9205.78258141
2017-10-27,5895.01,5928.0,5708.8,5780.0,7249.77535235
2017-10-28,5752.01,5805.95,5728.0,5794.01,698.47443079
2017-10-29,6140.01,6170.0,6078.01,6140.5,2189.8110996
2017-10-30,6140.5,6200.0,6028.0,6124.16,6026.59333078
2017-10-31,6445.01,6461.4,6363.59,6371.04,2872.14179027
2017-11-01,6783.69,6987.87,6759.0,6951.0,8737.71495828
2017-11-02,6951.0,7445.0,6769.74,7039.98,25660.0180883
2017-11-03,7209.3,7449.99,7110.0,7170.01,17191.74352577
2017-11-04,7412.35,7463.9,7323.0,7448.78,2043.0425189
2017-11-05,7391.95,7432.49,7058.91,7319.1,5912.53886955
2017-11-06,6969.76,7224.98,6968.49,7140.0,4462.80428158
2017-11-07,7128.99,7396.49,7090.0,7396.49,5777.14777778
2017-11-08,7396.49,7898.0,7031.66,7467.96,28969.16754283
2017-11-09,7156.0,7350.0,7139.98,7227.92,4031.74904875
2017-11-10,7227.92,7240.0,6426.0,6577.62,28359.24405695
2017-11-11,6346.64,6346.64,5611.0,5850.98,12215.98010477
2017-11-12,5850.97,6486.0,5511.11,5886.35,36684.3448211
2017-11-13,6255.0,6841.45,6200.0,6535.87,26327.71457426
2017-11-14,6605.0,6923.0,6605.0,6854.01,8181.91679221
2017-11-15,7294.0,7294.0,7130.0,7220.08,4305.29969958
2017-11-16,7220.08,7985.37,7220.07,7838.53,23031.90814841
2017-11-17,7919.99,7974.88,7536.0,7714.71,15770.20243621
2017-11-18,7777.01,7818.85,7750.99,7783.0,1497.36265726
2017-11-19,8031.83,8072.41,7969.0,8021.9,2905.6994573
2017-11-20,8256.01,8281.67,7802.99,8075.0,12132.11088045
2017-11-21,8109.0,8215.0,8103.13,8170.04,3009.92242762
2017-11-22,8170.04,8298.98,8110.49,8250.0,10453.80645087
2017-11-23,8251.32,8260.0,8031.16,8031.16,8974.90940835
2017-11-24,8215.01,8269.42,8203.98,8253.55,2646.24043416
2017-11-25,8795.5,9100.0,8795.5,9040.0,6722.5715994
2017-11-26,9401.11,9749.0,9401.0,9710.0,9225.82541894
2017-11-27,9710.0,9795.0,9438.01,9768.71,15391.94313533
2017-11-28,9949.0,10928.47,9945.96,10110.5,14900.79234493
2017-11-29,10110.5,11485.0,8595.55,9935.98,43948.5765704
2017-11-30,10486.0,10486.0,9135.6,9903.0,29235.77829999
2017-12-01,9575.0,10937.0,9540.45,10869.84,24270.66367177
2017-12-02,10930.24,11090.97,10851.81,11063.88,3267.48116308
2017-12-03,11290.0,11521.65,11250.0,11445.01,5750.19002119
2017-12-04,11445.01,11650.0,10950.03,11643.98,13533.03514771
2017-12-05,11718.34,12300.0,11717.5,12299.99,10181.27785462
2017-12-06,14090.0,14400.0,13500.0,14397.0,13446.39405679
2017-12-07,17390.01,17777.69,15142.43,16217.0,20197.8876283
2017-12-08,16217.09,16945.0,13788.99,16367.03,36846.22969422
2017-12-09,15661.42,16287.99,13550.0,15309.98,26086.70377612
2017-12-10,13899.99,16299.0,13800.0,15290.01,29665.44454354
2017-12-11,16885.76,17057.04,16375.0,16765.99,9146.74883642
2017-12-12,16766.0,18149.99,16690.0,17730.12,23808.15408112
2017-12-13,17241.77,17746.73,15700.0,16689.61,18461.5053374
2017-12-14,16749.79,17899.0,16745.0,17437.96,10904.80516679
2017-12-15,17738.68,17849.88,17630.0,17824.99,2699.08140521
2017-12-16,19650.02,19650.02,19010.0,19535.95,6476.33370352
2017-12-17,19378.99,19385.0,18201.39,19141.57,10162.86699634
2017-12-18,19141.57,19367.5,18425.0,19039.01,12662.3096865
2017-12-19,17838.73,17838.73,14001.0,16661.34,16696.47364067
2017-12-20,16496.9,17158.34,16200.0,16870.01,5904.12100277
2017-12-21,15758.8,15974.95,12712.0,14307.86,23994.16186529
2017-12-22,14307.86,15490.0,10400.0,14210.57,54723.74525262
2017-12-23,14318.72,16261.0,13750.0,15075.89,19951.14755183
2017-12-24,14525.0,14945.0,13210.0,14221.94,14674.60451718
2017-12-25,14171.99,15710.76,14171.98,15366.36,6372.58508282
2017-12-26,15790.88,16490.0,15665.66,16439.99,5092.8085078
2017-12-27,15360.01,15489.0,13801.0,13880.0,11119.18946084
2017-12-28,13880.01,14550.0,13500.0,14450.01,16130.18203043
2017-12-29,14573.14,14639.79,13601.0,14007.99,8053.24184088
2017-12-30,12839.98,13450.0,12633.8,12917.62,5075.04764338
2017-12-31,12917.62,14280.26,12701.0,13863.13,12224.3993868
2018-01-01,13480.0,13999.0,13005.0,13194.02,6200.04708441
2018-01-02,14781.52,15198.88,14761.0,15098.88,4422.37292755
2018-01-03,15098.87,15400.0,14628.0,15098.14,12001.45009948
2018-01-04,15145.0,15176.86,14819.78,15038.0,3086.39410429
2018-01-05,16960.01,16999.0,16410.75,16594.08,4507.40087768
2018-01-06,16594.09,17174.0,16251.01,17098.99,8378.95451119
