date,close
2017-08-22,4092.0
2017-08-23,4143.27
2017-08-24,4312.03
2017-08-25,4360.0
2017-08-26,4326.0
2017-08-27,4261.26
2017-08-28,4389.47
2017-08-29,4618.74
2017-08-30,4581.98
2017-08-31,4715.8
2017-09-01,4850.01
2017-09-02,4649.99
2017-09-03,4578.28
2017-09-04,4498.25
2017-09-05,4449.59
2017-09-06,4616.18
2017-09-07,4584.97
2017-09-08,4350.0
2017-09-09,4256.28
2017-09-10,4251.36
2017-09-11,4286.05
2017-09-12,4010.15
2017-09-13,3808.96
2017-09-14,3317.3
2017-09-15,3740.02
2017-09-16,3726.51
2017-09-17,3719.97
2017-09-18,3908.02
2017-09-19,3910.11
2017-09-20,3862.58
2017-09-21,3735.24
2017-09-22,3619.01
2017-09-23,3688.7
2017-09-24,3789.99
2017-09-25,3913.0
2017-09-26,3938.55
2017-09-27,4200.0
2017-09-28,4073.2
2017-09-29,4156.99
2017-09-30,4300.97
2017-10-01,4419.99
2017-10-02,4412.43
2017-10-03,4308.33
2017-10-04,4165.0
2017-10-05,4320.04
2017-10-06,4368.3
2017-10-07,4425.0
2017-10-08,4580.2
2017-10-09,4798.48
2017-10-10,4750.0
2017-10-11,4838.01
2017-10-12,5731.5
2017-10-13,5624.8
2017-10-14,5819.13
2017-10-15,5608.01
2017-10-16,5671.01
2017-10-17,5530.01
2017-10-18,5574.44
2017-10-19,5694.2
2017-10-20,5989.1
2017-10-21,5805.01
2017-10-22,6010.0
2017-10-23,5632.83
2017-10-24,5525.43
2017-10-25,5759.99
2017-10-26,5891.61
2017-10-27,5780.0
2017-10-28,5794.01
2017-10-29,6140.5
2017-10-30,6124.16
2017-10-31,6371.04
2017-11-01,6951.0
2017-11-02,7039.98
2017-11-03,7170.01
2017-11-04,7448.78
2017-11-05,7319.1
2017-11-06,7140.0
2017-11-07,7396.49
2017-11-08,7467.96
2017-11-09,7227.92
2017-11-10,6577.62
2017-11-11,5850.98
2017-11-12,5886.35
2017-11-13,6535.87
2017-11-14,6854.01
2017-11-15,7220.08
2017-11-16,7838.53
2017-11-17,7714.71
2017-11-18,7783.0
2017-11-19,8021.9
2017-11-20,8075.0
2017-11-21,8170.04
2017-11-22,8250.0
2017-11-23,8031.16
2017-11-24,8253.55
2017-11-25,9040.0
2017-11-26,9710.0
2017-11-27,9768.71
2017-11-28,10110.5
2017-11-29,9935.98
2017-11-30,9903.0
2017-12-01,10869.84
2017-12-02,11063.88
2017-12-03,11445.01
2017-12-04,11643.98
2017-12-05,12299.99
2017-12-06,14397.0
2017-12-07,16217.0
2017-12-08,16367.03
2017-12-09,15309.98
2017-12-10,15290.01
2017-12-11,16765.99
2017-12-12,17730.12
2017-12-13,16689.61
2017-12-14,17437.96
2017-12-15,17824.99
2017-12-16,19535.95
2017-12-17,19141.57
2017-12-18,19039.01
2017-12-19,16661.34
2017-12-20,16870.01
2017-12-21,14307.86
2017-12-22,14210.57
2017-12-23,15075.89
2017-12-24,14221.94
2017-12-25,15366.36
2017-12-26,16439.99
2017-12-27,13880.0
2017-12-28,14450.01
2017-12-29,14007.99
2017-12-30,12917.62
2017-12-31,13863.13
2018-01-01,13194.02
2018-01-02,15098.88
2018-01-03,15098.14
2018-01-04,15038.0
2018-01-05,16594.08
2018-01-06,17098.99
2018-01-07,15862.9
2018-01-08,14993.74
2018-01-09,14227.0
2018-01-10,13193.72
2018-01-11,13308.06
2018-01-12,13820.0
2018-01-13,14187.95
2018-01-14,13600.0
2018-01-15,13149.9
2018-01-16,11148.07
2018-01-17,11200.01
2018-01-18,11305.53
2018-01-19,11498.99
2018-01-20,12107.99
2018-01-21,11455.0
2018-01-22,10766.7
2018-01-23,10824.94
2018-01-24,11487.28
2018-01-25,11287.8
2018-01-26,11086.89
2018-01-27,11531.01
2018-01-28,11536.0
2018-01-29,10940.01
2018-01-30,9870.49
2018-01-31,10049.98
2018-02-01,8527.02
2018-02-02,8787.52
2018-02-03,9277.75
2018-02-04,8197.45
2018-02-05,6389.09
2018-02-06,7455.0
2018-02-07,7971.23
2018-02-08,7875.01
2018-02-09,8860.07
2018-02-10,8112.16
2018-02-11,8362.7
2018-02-12,8616.98
2018-02-13,8823.53
2018-02-14,9700.0
2018-02-15,10031.23
2018-02-16,10555.42
2018-02-17,10483.99
2018-02-18,10380.04
2018-02-19,11437.04
2018-02-20,10824.54
2018-02-21,10454.27
2018-02-22,9830.0
2018-02-23,10445.44
2018-02-24,9688.62
2018-02-25,9624.71
2018-02-26,10305.56
2018-02-27,10940.0
2018-02-28,10307.27
2018-03-01,10983.51
2018-03-02,11305.04
2018-03-03,11199.99
2018-03-04,11506.0
2018-03-05,11298.05
2018-03-06,10664.99
2018-03-07,9925.0
2018-03-08,8499.9
2018-03-09,9255.0
2018-03-10,8839.96
2018-03-11,9550.01
2018-03-12,9381.33
2018-03-13,9092.01
2018-03-14,7917.0
2018-03-15,8259.99
2018-03-16,8275.0
2018-03-17,7588.0
2018-03-18,8192.0
2018-03-19,8457.99
2018-03-20,9060.9
2018-03-21,8891.81
2018-03-22,8412.06
2018-03-23,8940.38
2018-03-24,8531.34
2018-03-25,8438.92
2018-03-26,7770.0
2018-03-27,7793.61
2018-03-28,7600.0
2018-03-29,6704.79
2018-03-30,7020.0
2018-03-31,6938.72
2018-04-01,6816.01
2018-04-02,7370.0
2018-04-03,7424.9
2018-04-04,6780.02
2018-04-05,6785.85
2018-04-06,6842.4
2018-04-07,6969.0
2018-04-08,7135.13
2018-04-09,6760.24
2018-04-10,6827.98
2018-04-11,6960.0
2018-04-12,7814.0
2018-04-13,7893.19
2018-04-14,8105.15
2018-04-15,8138.78
2018-04-16,8048.93
2018-04-17,7924.99
2018-04-18,8185.22
2018-04-19,8260.0
2018-04-20,8866.27
2018-04-21,8915.42
2018-04-22,8855.0
2018-04-23,9256.55
2018-04-24,9298.99
2018-04-25,8865.98
2018-04-26,9203.02
